"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2023","340.54","337.75","342.73","337.20","26.83M","1.64%"
"06/29/2023","335.05","334.71","336.11","332.62","16.86M","-0.24%"
"06/28/2023","335.85","334.66","337.98","333.81","19.52M","0.38%"
"06/27/2023","334.57","331.86","336.15","329.30","23.68M","1.82%"
"06/26/2023","328.60","333.72","336.11","328.49","21.25M","-1.92%"
"06/23/2023","335.02","334.36","337.96","333.45","23.15M","-1.38%"
"06/22/2023","339.71","334.12","340.12","333.34","23.03M","1.84%"
"06/21/2023","333.56","336.37","337.73","332.07","24.87M","-1.33%"
"06/20/2023","338.05","339.31","342.08","335.86","26.01M","-1.25%"
"06/16/2023","342.33","351.32","351.47","341.95","46.55M","-1.66%"
"06/15/2023","348.10","337.48","349.84","337.20","38.61M","3.19%"
"06/14/2023","337.34","334.34","339.04","332.81","25.83M","0.91%"
"06/13/2023","334.29","334.46","336.98","330.39","22.66M","0.74%"
"06/12/2023","331.85","328.58","332.10","325.16","24.18M","1.55%"
"06/09/2023","326.79","324.99","329.99","324.41","22.53M","0.47%"
"06/08/2023","325.26","323.93","326.64","323.35","23.28M","0.58%"
"06/07/2023","323.38","331.65","334.49","322.50","40.72M","-3.09%"
"06/06/2023","333.68","335.33","335.37","332.17","20.21M","-0.67%"
"06/05/2023","335.94","335.22","338.56","334.66","21.11M","0.16%"
"06/02/2023","335.40","334.25","337.50","332.55","25.87M","0.85%"
"06/01/2023","332.58","325.93","333.53","324.72","25.80M","1.28%"
"05/31/2023","328.39","332.29","335.94","327.33","45.55M","-0.85%"
"05/30/2023","331.21","335.23","335.74","330.52","29.41M","-0.50%"
"05/26/2023","332.89","324.02","333.40","323.88","36.63M","2.14%"
"05/25/2023","325.92","323.24","326.90","320.00","41.89M","3.85%"
"05/24/2023","313.85","314.73","316.50","312.61","22.01M","-0.45%"
"05/23/2023","315.26","320.03","322.72","315.25","29.93M","-1.84%"
"05/22/2023","321.18","318.60","322.59","318.01","23.05M","0.89%"
"05/19/2023","318.34","316.74","318.75","316.37","25.73M","-0.06%"
"05/18/2023","318.52","314.53","319.04","313.72","26.37M","1.44%"
"05/17/2023","314.00","312.29","314.43","310.74","24.32M","0.72%"
"05/16/2023","311.74","309.83","313.71","309.83","26.73M","0.74%"
"05/15/2023","309.46","309.10","309.90","307.59","16.29M","0.16%"
"05/12/2023","308.97","310.55","310.65","306.60","19.77M","-0.37%"
"05/11/2023","310.11","310.10","311.12","306.26","31.68M","-0.70%"
"05/10/2023","312.31","308.62","313.00","307.67","30.08M","1.73%"
"05/09/2023","307.00","308.00","310.04","306.31","21.34M","-0.53%"
"05/08/2023","308.65","310.13","310.20","306.09","21.32M","-0.64%"
"05/05/2023","310.65","305.72","311.97","304.27","28.20M","1.72%"
"05/04/2023","305.41","306.24","307.76","303.40","22.20M","0.33%"
"05/03/2023","304.40","306.62","308.61","304.09","22.16M","-0.33%"
"05/02/2023","305.41","307.76","309.18","303.91","26.40M","-0.05%"
"05/01/2023","305.56","306.97","308.60","305.15","21.25M","-0.55%"
"04/28/2023","307.26","304.01","308.93","303.31","36.47M","0.80%"
"04/27/2023","304.83","295.97","305.20","295.25","46.21M","3.20%"
"04/26/2023","295.37","296.70","299.57","292.73","64.48M","7.24%"
"04/25/2023","275.42","279.51","281.60","275.37","40.23M","-2.25%"
"04/24/2023","281.77","282.09","284.95","278.72","26.51M","-1.40%"
"04/21/2023","285.76","285.01","286.27","283.06","21.68M","-0.12%"
"04/20/2023","286.11","285.25","289.03","285.08","23.24M","-0.81%"
"04/19/2023","288.45","285.99","289.05","284.54","17.08M","0.03%"
"04/18/2023","288.37","291.57","291.76","287.01","20.10M","-0.15%"
"04/17/2023","288.80","289.93","291.60","286.16","23.84M","0.93%"
"04/14/2023","286.14","287.00","288.48","283.69","20.99M","-1.28%"
"04/13/2023","289.84","283.59","289.90","283.17","24.12M","2.24%"
"04/12/2023","283.49","284.79","287.01","281.96","27.40M","0.23%"
"04/11/2023","282.83","285.75","285.98","281.64","27.20M","-2.27%"
"04/10/2023","289.39","289.21","289.60","284.71","23.03M","-0.76%"
"04/06/2023","291.60","283.21","292.08","282.03","29.77M","2.55%"
"04/05/2023","284.34","285.85","287.15","282.92","22.00M","-0.99%"
"04/04/2023","287.18","287.23","290.45","285.67","25.78M","-0.02%"
"04/03/2023","287.23","286.52","288.27","283.95","24.84M","-0.37%"
"03/31/2023","288.30","283.73","289.27","283.00","32.70M","1.50%"
"03/30/2023","284.05","284.23","284.46","281.48","24.99M","1.26%"
"03/29/2023","280.51","278.96","281.14","278.41","25.09M","1.92%"
"03/28/2023","275.23","275.79","276.14","272.05","21.84M","-0.42%"
"03/27/2023","276.38","280.50","281.46","275.52","26.76M","-1.49%"
"03/24/2023","280.57","277.24","280.63","275.28","28.20M","1.05%"
"03/23/2023","277.66","277.94","281.06","275.20","36.38M","1.97%"
"03/22/2023","272.29","273.40","281.04","272.18","34.73M","-0.54%"
"03/21/2023","273.78","274.88","275.00","269.52","33.99M","0.57%"
"03/20/2023","272.23","276.98","277.48","269.85","42.78M","-2.58%"
"03/17/2023","279.43","278.26","283.33","276.32","69.53M","1.17%"
"03/16/2023","276.20","265.20","276.56","263.28","53.64M","4.05%"
"03/15/2023","265.44","259.98","266.48","259.21","45.77M","1.78%"
"03/14/2023","260.79","256.75","261.07","255.86","33.34M","2.71%"
"03/13/2023","253.92","247.40","257.91","245.73","33.34M","2.14%"
"03/10/2023","248.59","251.08","252.79","247.60","28.33M","-1.48%"
"03/09/2023","252.32","255.82","259.56","251.58","26.48M","-0.54%"
"03/08/2023","253.70","254.04","254.54","250.81","17.34M","-0.18%"
"03/07/2023","254.15","256.30","257.69","253.39","21.47M","-1.06%"
"03/06/2023","256.87","256.42","260.12","255.98","24.11M","0.62%"
"03/03/2023","255.29","252.19","255.62","251.39","29.28M","1.66%"
"03/02/2023","251.11","246.55","251.40","245.61","24.75M","1.97%"
"03/01/2023","246.27","250.76","250.93","245.79","26.53M","-1.26%"
"02/28/2023","249.42","249.07","251.49","248.73","22.49M","-0.30%"
"02/27/2023","250.16","252.46","252.82","249.39","21.19M","0.38%"
"02/24/2023","249.22","249.96","251.00","248.10","24.99M","-2.18%"
"02/23/2023","254.77","255.56","256.84","250.48","29.22M","1.30%"
"02/22/2023","251.51","254.09","254.34","250.34","22.49M","-0.46%"
"02/21/2023","252.67","254.48","255.49","251.59","28.40M","-2.09%"
"02/17/2023","258.06","259.39","260.09","256.00","30.00M","-1.56%"
"02/16/2023","262.15","264.02","266.74","261.90","29.19M","-2.66%"
"02/15/2023","269.32","268.32","270.73","266.18","28.36M","-1.05%"
"02/14/2023","272.17","272.67","274.97","269.28","37.05M","0.31%"
"02/13/2023","271.32","267.64","274.60","267.15","44.43M","3.12%"
"02/10/2023","263.10","261.53","264.09","260.66","25.82M","-0.20%"
"02/09/2023","263.62","273.80","273.98","262.80","39.68M","-1.17%"
"02/08/2023","266.73","273.20","276.76","266.21","54.25M","-0.31%"
"02/07/2023","267.56","260.53","268.77","260.08","50.45M","4.20%"
"02/06/2023","256.77","257.44","258.30","254.78","22.44M","-0.61%"
"02/03/2023","258.35","259.54","264.20","257.10","29.08M","-2.36%"
"02/02/2023","264.60","258.82","264.69","257.25","39.18M","4.69%"
"02/01/2023","252.75","248.00","255.18","245.47","29.93M","1.99%"
"01/31/2023","247.81","243.45","247.95","242.95","26.54M","2.10%"
